VAR;LABEL;TYPE;INPUT;QUESTION
CASE;Interview-Nummer (fortlaufend);METRIC;SYSTEM;
SERIAL;Seriennummer (sofern verwendet);TEXT;SYSTEM;
REF;Referenz (sofern im Link angegeben);TEXT;SYSTEM;
QUESTNNR;Fragebogen, der im Interview verwendet wurde;TEXT;SYSTEM;
MODE;Interview-Modus;TEXT;SYSTEM;
STARTED;Zeitpunkt zu dem das Interview begonnen hat;TIME;SYSTEM;
DO01_01;DO: pre-registered studies/analyses;ORDINAL;SCALE;How frequently have you done any of the following...
DO01_03;DO: shared data publicly;ORDINAL;SCALE;How frequently have you done any of the following...
DO01_04;DO: shared code/protocols publicly;ORDINAL;SCALE;How frequently have you done any of the following...
DO01_05;DO: published in open access outlets (journals or monographs);ORDINAL;SCALE;How frequently have you done any of the following...
DO01_06;DO: published pre-prints;ORDINAL;SCALE;How frequently have you done any of the following...
DO01_07;DO: did an open peer review;ORDINAL;SCALE;How frequently have you done any of the following...
DO01_08;DO: used open source software;ORDINAL;SCALE;How frequently have you done any of the following...
DO01_10;DO: published a (direct) replication of a study;ORDINAL;SCALE;How frequently have you done any of the following...
DO01_09;DO: other;ORDINAL;SCALE;How frequently have you done any of the following...
DO02_01;Do_other: Other open science practice(s);TEXT;OPEN;
MO01_01;Wish: pre-registering your studies/analyses;ORDINAL;SCALE;How willing are you to introduce the following open science practices to your research in the future?
MO01_03;Wish: sharing data;ORDINAL;SCALE;How willing are you to introduce the following open science practices to your research in the future?
MO01_04;Wish: sharing code/protocols;ORDINAL;SCALE;How willing are you to introduce the following open science practices to your research in the future?
MO01_05;Wish: open access publishing;ORDINAL;SCALE;How willing are you to introduce the following open science practices to your research in the future?
MO01_06;Wish: publishing pre-prints;ORDINAL;SCALE;How willing are you to introduce the following open science practices to your research in the future?
MO01_07;Wish: doing open peer review;ORDINAL;SCALE;How willing are you to introduce the following open science practices to your research in the future?
MO01_08;Wish: using open source software;ORDINAL;SCALE;How willing are you to introduce the following open science practices to your research in the future?
MO01_09;Wish: publishing a (direct) replication of a study;ORDINAL;SCALE;How willing are you to introduce the following open science practices to your research in the future?
MO01_10;Wish: other;ORDINAL;SCALE;How willing are you to introduce the following open science practices to your research in the future?
MO02_01;Do_other: Other open science practice(s);TEXT;OPEN;
AT01_01;attitude: [Keine Beschreibung] 01;ORDINAL;SCALE;"In general, how do you feel about the open science movement and efforts to make research--specifically, terrorism studies--more transparent?

Lower numbers correspond to less favourable feelings, higher numbers correspond to more favourable feelings."
AT02_01;attitude_test: [Keine Beschreibung] 01;ORDINAL;SCALE;"In general, how do you feel about the open science movement and efforts to make research--specifically, terrorism studies--more transparent?

By clicking on the purple marker you can place it in any position along the slider."
RE02_01;reasons: It is increasingly a hiring and/or promotion requirement.;ORDINAL;SCALE;There are several reasons why researchers pursue (different) open science practices. Generally speaking, why are you or why would you pursue one or more open science activities (e.g., the activities that were mentioned in the previous questions).
RE02_02;reasons: It is a requirement for funding/grants I aim to apply for.;ORDINAL;SCALE;There are several reasons why researchers pursue (different) open science practices. Generally speaking, why are you or why would you pursue one or more open science activities (e.g., the activities that were mentioned in the previous questions).
RE02_03;reasons: It allows me to reach a larger academic audience.;ORDINAL;SCALE;There are several reasons why researchers pursue (different) open science practices. Generally speaking, why are you or why would you pursue one or more open science activities (e.g., the activities that were mentioned in the previous questions).
RE02_04;reasons: It makes it possible to have a larger impact.;ORDINAL;SCALE;There are several reasons why researchers pursue (different) open science practices. Generally speaking, why are you or why would you pursue one or more open science activities (e.g., the activities that were mentioned in the previous questions).
RE02_05;reasons: It seems like the right thing to do.;ORDINAL;SCALE;There are several reasons why researchers pursue (different) open science practices. Generally speaking, why are you or why would you pursue one or more open science activities (e.g., the activities that were mentioned in the previous questions).
RE02_06;reasons: It makes the research process more efficient.;ORDINAL;SCALE;There are several reasons why researchers pursue (different) open science practices. Generally speaking, why are you or why would you pursue one or more open science activities (e.g., the activities that were mentioned in the previous questions).
RE02_07;reasons: It facilitates collaboration.;ORDINAL;SCALE;There are several reasons why researchers pursue (different) open science practices. Generally speaking, why are you or why would you pursue one or more open science activities (e.g., the activities that were mentioned in the previous questions).
RE02_08;reasons: Other;ORDINAL;SCALE;There are several reasons why researchers pursue (different) open science practices. Generally speaking, why are you or why would you pursue one or more open science activities (e.g., the activities that were mentioned in the previous questions).
RE03_01;Do_other: Other reasons;TEXT;OPEN;
CO01_01;concerns: [01];TEXT;OPEN;What concerns do you have about the open science movement in general or specific open science practices in particular? If you don't have any concerns yourself, what, do you think, may be a concern for other researchers in terrorism studies?
CO02_01;limits: The amount of time it takes;ORDINAL;SCALE;What restricts your ability to engage in open science practices?
CO02_02;limits: Financial costs;ORDINAL;SCALE;What restricts your ability to engage in open science practices?
CO02_03;limits: Lack of knowledge/training;ORDINAL;SCALE;What restricts your ability to engage in open science practices?
CO02_04;limits: Lack of discipline-specific best practices;ORDINAL;SCALE;What restricts your ability to engage in open science practices?
CO02_05;limits: Lack of concrete incentives;ORDINAL;SCALE;What restricts your ability to engage in open science practices?
CO02_06;limits: Other;ORDINAL;SCALE;What restricts your ability to engage in open science practices?
CO03_01;Do_other: Other concerns;TEXT;OPEN;
DE01;career level: Ausweichoption (negativ) oder Anzahl ausgewählter Optionen;NOMINAL;SYSTEM;What best describes your current position?
